,id,room_type,price,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker
145,72427,0,50,1,2,88,1,3,1.0,1.0,1.0,4,40.0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1
147,73533,0,135,1,3,100,1,3,1.0,1.0,2.0,4,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
148,73551,0,85,1,1,80,1,3,1.0,1.0,1.0,4,45.0,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
149,74561,0,48,5,3,100,1,2,1.0,0.0,1.0,1,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
150,75708,1,45,1,3,100,1,2,1.5,0.0,1.0,4,30.0,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
153,77482,0,600,1,3,100,16,10,4.5,4.0,6.0,4,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
154,78366,0,110,1,2,100,1,5,1.0,2.0,5.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
155,79690,0,185,79,1,65,1,4,1.0,1.0,3.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
157,80301,1,60,2,2,100,1,2,1.0,1.0,1.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
158,81106,0,85,1,3,100,1,2,1.0,1.0,1.0,4,25.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
159,81615,0,71,1,1,89,1,2,1.0,1.0,2.0,4,40.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
160,81870,0,135,79,1,65,1,2,1.0,1.0,1.0,4,60.0,3,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1
161,84820,0,79,1,3,100,1,3,1.5,1.0,2.0,4,49.0,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1
163,85145,1,125,2,2,100,2,3,1.0,1.0,2.0,4,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
164,86053,0,185,1,3,100,1,5,1.0,1.0,3.0,2,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
166,87590,0,150,1,2,100,1,4,1.0,2.0,3.0,4,40.0,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
168,89058,0,95,2,3,100,1,4,1.0,1.0,2.0,4,50.0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
170,94270,0,140,2,3,100,16,4,1.0,2.0,3.0,4,140.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,94711,0,55,1,2,100,1,2,1.0,1.0,1.0,4,30.0,3,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1
172,95915,0,80,1,2,90,1,2,1.0,1.0,1.0,4,50.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
174,97773,0,389,1,1,100,16,6,2.5,3.0,4.0,4,120.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
176,100779,1,60,1,1,73,1,2,1.0,1.0,1.0,4,20.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
177,101682,0,50,1,1,100,1,1,1.0,1.0,1.0,4,35.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0
180,107038,0,100,1,3,100,1,4,1.0,2.0,2.0,4,0.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1
182,108591,0,449,2,1,100,1,5,2.0,2.0,5.0,4,120.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
183,109161,0,120,1,2,100,1,2,1.0,1.0,1.0,4,40.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1
184,110322,0,150,2,2,100,1,4,1.0,1.0,2.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
185,111270,0,60,2,3,100,1,3,1.0,1.0,1.0,4,0.0,3,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1
186,113011,0,45,1,2,100,1,2,1.0,1.0,1.0,4,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
187,114543,0,95,1,2,100,1,2,1.0,1.0,1.0,4,30.0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
188,115655,0,130,1,0,40,16,7,1.0,3.0,3.0,4,50.0,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
189,118731,0,49,2,2,92,1,3,1.0,1.0,2.0,4,40.0,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191,120494,0,69,1,3,100,1,2,1.0,1.0,1.0,4,40.0,3,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
192,121893,0,109,1,2,100,16,2,1.0,1.0,1.0,4,50.0,3,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
193,122179,0,110,1,2,100,1,3,1.0,1.0,2.0,4,30.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
194,122222,0,65,1,2,100,1,2,1.0,1.0,1.0,4,35.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
195,124251,0,150,1,1,90,1,4,1.0,2.0,3.0,4,30.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
196,128796,0,88,1,3,100,1,3,1.0,1.0,1.0,4,35.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
197,130213,0,135,1,3,100,1,2,1.0,1.0,1.0,4,50.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
198,130420,0,175,1,2,100,1,6,1.0,2.0,3.0,4,50.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
199,132533,0,52,2,2,92,1,2,1.0,1.0,1.0,3,40.0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
201,136687,0,90,40,3,100,1,2,1.0,1.0,1.0,3,100.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
203,137112,0,110,1,2,78,1,4,1.0,1.0,2.0,4,30.0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
204,137857,0,40,1,2,100,1,2,1.0,1.0,2.0,4,30.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0
208,140355,0,67,1,3,100,1,4,1.0,1.0,2.0,4,0.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
209,141727,0,40,1,1,100,1,2,1.0,1.0,1.0,2,40.0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
210,142507,0,50,2,3,100,1,4,1.0,1.0,2.0,4,30.0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
212,145473,0,190,1,1,50,1,4,2.0,2.0,5.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,146926,0,120,1,1,50,1,5,2.0,3.0,3.0,4,100.0,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
216,148675,0,75,2,2,100,1,2,1.0,1.0,2.0,4,30.0,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0
218,149534,0,219,1,1,100,1,4,1.0,1.0,1.0,4,40.0,3,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
220,149959,0,120,1,3,100,16,3,1.0,2.0,2.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
222,150800,1,40,5,1,76,1,6,1.0,1.0,2.0,4,20.0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
