,id,room_type,price,minimum_nights_x,number_of_reviews,reviews_per_month,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,minimum_nights_y,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,group
21818.0,13184919.0,0.0,180.0,4.0,16.0,0.51,1.0,1.0,100.0,20.0,4.0,1.0,2.0,2.0,4.0,65.0,4.0,40.0,3.0,4.0,40.0,40.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,3.0
21820.0,13185459.0,0.0,70.0,4.0,26.0,0.82,1.0,1.0,60.0,1.0,2.0,1.0,1.0,2.0,4.0,30.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,1.0
21823.0,13186411.0,0.0,75.0,3.0,36.0,1.25,1.0,3.0,100.0,1.0,3.0,1.0,1.0,2.0,4.0,55.0,3.0,50.0,3.0,3.0,50.0,50.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,2.0,1.0
21829.0,13188523.0,0.0,70.0,7.0,15.0,0.44,1.0,3.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,50.0,7.0,1125.0,7.0,7.0,1125.0,1125.0,97.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0
21834.0,13189684.0,1.0,40.0,2.0,33.0,0.92,1.0,2.0,80.0,13.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,96.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0
21836.0,13190547.0,0.0,200.0,2.0,26.0,0.73,2.0,1.0,60.0,1.0,4.0,2.0,3.0,4.0,4.0,30.0,2.0,7.0,2.0,2.0,7.0,7.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
21840.0,13196446.0,0.0,60.0,2.0,20.0,0.59,1.0,1.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,30.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,97.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,1.0
21841.0,13196489.0,0.0,250.0,30.0,3.0,0.13,79.0,1.0,65.0,1.0,6.0,2.0,2.0,3.0,4.0,80.0,30.0,360.0,30.0,30.0,360.0,360.0,87.0,8.0,8.0,10.0,10.0,9.0,8.0,2.0,1.0
21842.0,13196547.0,0.0,200.0,2.0,13.0,0.39,2.0,2.0,97.0,1.0,9.0,2.0,3.0,5.0,4.0,60.0,2.0,28.0,2.0,2.0,28.0,28.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21843.0,13196687.0,0.0,85.0,5.0,12.0,0.36,1.0,3.0,100.0,1.0,4.0,1.0,2.0,3.0,4.0,45.0,5.0,1125.0,5.0,5.0,1125.0,1125.0,95.0,9.0,9.0,10.0,10.0,9.0,9.0,2.0,1.0
