,address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,geometry
4146,"18 Rue de l'Hôtel de ville, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251761,251761,48.854311,2.3561360000000002,Paris,Cite Internationale Des Arts,2.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251761,,POINT (2.356136 48.854311)
4147,"70 Quai de l'Hôtel de ville, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251762,251762,48.854668,2.354577,Paris,Les Thermes de lutèce,5.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251762,,POINT (2.354577 48.854668)
4148,"74 Rue François Miron, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251764,251764,48.855385,2.358842,Paris,L'Oeil Ouvert,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251764,,POINT (2.358842 48.855385)
4149,"18 Rue du Pont Louis-Philippe, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251765,251765,48.855377,2.356009,Paris,Galerie Hebert,2.0,,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251765,,POINT (2.356009 48.855377)
4150,"8 Rue Elzevir, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251772,251772,48.858191,2.361519,Paris,Musée Cognacq-Jay,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251772,,POINT (2.361519 48.858191)
4151,"8 Rue des Francs Bourgeois, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251773,251773,48.856708,2.363587,Paris,Yellow Korner,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251773,,POINT (2.363587 48.856708)
4152,"9 Rue Saint-Gilles, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251774,251774,48.857946,2.3656,Paris,Galerie Chez Valentin,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251774,,POINT (2.3656 48.857946)
4153,"12 Rue Saint-Gilles, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251776,251776,48.857916,2.366655,Paris,Polka Magazine,2.0,,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251776,,POINT (2.366655 48.857916)
4154,"17 Rue du Parc Royal, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251777,251777,48.858806,2.362602,Paris,Galerie Lahumiere,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251777,,POINT (2.362602 48.858806)
4155,"13 Rue Payenne, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251779,251779,48.85863,2.362897,Paris,Square Léopold Achille,1.0,,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251779,,POINT (2.362897 48.85863)
4156,"8 Rue des Francs Bourgeois, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251788,251788,48.856665,2.363477,Paris,Y.k.f,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251788,,POINT (2.363477 48.856665)
4157,"6 Place des Vosges, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251792,251792,48.854848,2.366269,Paris,Maison de Victor Hugo,5.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251792,,POINT (2.366269 48.854848)
4158,"19 Rue Saint-Antoine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251795,251795,48.853494,2.36603,Paris,Comme Ca,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251795,,POINT (2.36603 48.853494)
4159,"18 Place des Vosges, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251798,251798,48.855652,2.366524,Paris,Galerie de Medicis,1.0,,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251798,,POINT (2.366524 48.855652)
4160,"66 Rue Saint-Antoine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251824,251824,48.854537,2.363395,Paris,Bulle de Plaisir,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251824,,POINT (2.363395 48.854537)
4161,"4 Boulevard Richard Lenoir, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251834,251834,48.85392,2.369933,Paris,Majestic Bastille,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251834,,POINT (2.369933 48.85392)
4162,"8 Rue Sedaine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251835,251835,48.855528,2.371405,Paris,La Villa Thai,5.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251835,,POINT (2.371405 48.855528)
4163,"9 Rue de Lappe, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251836,251836,48.854056,2.372205,Paris,Balajo,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251836,,POINT (2.372205 48.854056)
4164,"19 Rue de Lappe, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251837,251837,48.853856,2.372625,Paris,La Chapelle des Lombards,3.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251837,,POINT (2.372625 48.853856)
4165,"27 Rue Keller, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251839,251839,48.855456,2.375174,Paris,Dorothy's Gallery,3.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251839,,POINT (2.375174 48.855456)
4166,"13 Rue Daval, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251840,251840,48.855002,2.370746,Paris,Amazonia Paris Bastille,2.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251840,,POINT (2.370746 48.855002)
4167,"4 Rue Sedaine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251843,251843,48.855387,2.370788,Paris,Belle Xin Yi,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251843,,POINT (2.370788 48.855387)
4168,"7 Rue Pache, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251845,251845,48.858628,2.382291,Paris,Musée du Fumeur,3.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251845,,POINT (2.382291 48.858628)
4169,"16 bis Avenue Parmentier, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251846,251846,48.859827,2.379196,Paris,Parenthèse Bien-être,4.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251846,,POINT (2.379196 48.859827)
4170,"4 Passage Saint-Antoine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251857,251857,48.852725,2.376253,Paris,Hammam Les Milles et Une Nuits,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251857,,POINT (2.376253 48.852725)
4171,"27 Rue de Charonne, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251858,251858,48.853381,2.3753159999999998,Paris,Galerie Lavignes Bastille,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251858,,POINT (2.375316 48.853381)
