,id,room_type,price,calculated_host_listings_count,latitude,longitude,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker,label
194,122222,0,65,1,48.85344,2.38713,2,100,1,2,1,1,1,4,35,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
195,124251,0,150,1,48.88369,2.36566,1,90,1,4,1,2,3,4,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0
196,128796,0,88,1,48.8551,2.36271,3,100,1,3,1,1,1,4,35,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
197,130213,0,135,1,48.84813,2.32856,3,100,1,2,1,1,1,4,50,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
198,130420,0,175,1,48.88066,2.3442,2,100,1,6,1,2,3,4,50,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
199,132533,0,52,2,48.84281,2.30288,2,92,1,2,1,1,1,3,40,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
201,136687,0,90,40,48.84218,2.35008,3,100,1,2,1,1,1,3,100,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
203,137112,0,110,1,48.85626,2.38844,2,78,1,4,1,1,2,4,30,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
204,137857,0,40,1,48.85566,2.39708,2,100,1,2,1,1,2,4,30,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
208,140355,0,67,1,48.87488,2.37725,3,100,1,4,1,1,2,4,0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0
